Date,City,Branch,Product,Sales,InventoryLevel (%),CustomerFootfall,EmployeeName,AvgServiceTime,ReturnRate,LoyaltySegment
2025-05-21,Hyderabad,Hyderabad - Branch 2,Mocha,360.97,46,14,Brenda,3.63,0.01,Loyal
2025-03-31,Singapore,Singapore - Branch 1,Latte,349.04,72,63,Shannon,5.57,0.06,Loyal
2025-02-07,Dubai,Dubai - Branch 1,Cappuccino,238.3,53,70,Joseph,5.18,0.07,Returning
2025-06-11,Surat,Surat - Branch 1,Latte,229.86,57,139,Annette,6.97,0.02,New
2025-04-20,Delhi,Delhi - Branch 3,Americano,365.47,77,111,John,2.11,0.01,New
2025-05-27,Dubai,Dubai - Branch 2,Frappuccino,375.01,68,98,Jennifer,6.41,0.05,Loyal
2025-05-02,Hyderabad,Hyderabad - Branch 2,Cold Brew,538.9,63,100,Elizabeth,4.08,0.04,New
2025-01-24,Ahmedabad,Ahmedabad - Branch 2,Cappuccino,345.3,79,54,Melissa,1.98,0.04,Loyal
2025-05-15,Dubai,Dubai - Branch 1,Americano,354.38,41,72,Renee,1.58,0.06,Loyal
2025-04-14,Lucknow,Lucknow - Branch 1,Frappuccino,477.61,30,13,Jeremy,1.55,0.04,Loyal
2025-02-14,Ahmedabad,Ahmedabad - Branch 3,Cappuccino,416.32,52,29,Joel,1.61,0.02,Returning
2025-03-27,Bangalore,Bangalore - Branch 2,Cold Brew,160.3,46,173,Lance,5.43,0.09,Loyal
2025-02-15,Delhi,Delhi - Branch 2,Cappuccino,216.67,41,192,Maria,4.71,0.1,New
2025-06-26,Singapore,Singapore - Branch 1,Frappuccino,495.56,96,185,Patrick,2.65,0.11,Loyal
2025-05-25,Ahmedabad,Ahmedabad - Branch 3,Cappuccino,211.6,77,42,Ashley,5.27,0.11,Returning
2025-02-14,Dubai,Dubai - Branch 3,Cappuccino,482.27,70,120,Larry,3.63,0.13,New
2025-03-14,Bangalore,Bangalore - Branch 1,Frappuccino,493.05,70,96,Sharon,3.41,0.13,Loyal
2025-06-21,Mumbai,Mumbai - Branch 1,Frappuccino,489.07,88,64,Mary,3.06,0.11,Returning
2025-02-18,Delhi,Delhi - Branch 3,Cappuccino,404.44,100,85,Christopher,5.72,0.09,Loyal
2025-05-21,London,London - Branch 3,Frappuccino,407.83,30,69,Mary,5.03,0.06,Loyal
2025-06-27,Ahmedabad,Ahmedabad - Branch 3,Latte,437.6,89,63,Kimberly,2.94,0.14,Returning
2025-01-15,Bangalore,Bangalore - Branch 1,Frappuccino,424.97,98,190,Caleb,6.35,0.03,Returning
2025-03-19,Jaipur,Jaipur - Branch 1,Cappuccino,427.98,84,132,William,5.45,0.14,Loyal
2025-05-29,Mumbai,Mumbai - Branch 2,Espresso,518.49,52,186,Daniel,3.66,0.02,Loyal
2025-04-30,Mumbai,Mumbai - Branch 2,Espresso,399.26,78,134,Thomas,6.79,0.1,Returning
2025-05-23,Hyderabad,Hyderabad - Branch 2,Cappuccino,223.07,66,35,Lori,6.22,0.08,Returning
2025-01-18,Hyderabad,Hyderabad - Branch 2,Cappuccino,511.89,61,129,Toni,6.85,0.08,Loyal
2025-02-16,Hyderabad,Hyderabad - Branch 1,Espresso,238.49,52,183,Yesenia,4.73,0.01,Loyal
2025-07-03,Jaipur,Jaipur - Branch 1,Mocha,506.03,40,117,Katherine,3.3,0.1,New
2025-04-26,Lucknow,Lucknow - Branch 3,Cappuccino,319.19,64,28,Tyler,6.85,0.02,New
2025-04-17,Pune,Pune - Branch 1,Mocha,376.46,49,53,Richard,6.45,0.05,Returning
2025-06-09,Lucknow,Lucknow - Branch 2,Cold Brew,364.71,91,33,Mitchell,6.65,0.09,New
2025-05-01,Hyderabad,Hyderabad - Branch 3,Frappuccino,157.77,35,22,Andrew,1.87,0.02,Returning
2025-01-13,London,London - Branch 2,Americano,534.28,80,53,Allen,5.69,0.12,Returning
2025-06-28,Dubai,Dubai - Branch 1,Cold Brew,375.27,98,101,Jesse,3.85,0.1,New
2025-05-04,New York,New York - Branch 3,Espresso,507.35,76,18,Katherine,4.11,0.06,Loyal
2025-04-01,Hyderabad,Hyderabad - Branch 1,Cold Brew,515.24,32,185,Samantha,1.57,0.11,New
2025-05-26,Kolkata,Kolkata - Branch 1,Frappuccino,353.95,64,26,Brad,6.46,0.06,Returning
2025-07-09,Hyderabad,Hyderabad - Branch 3,Americano,371.68,52,103,Allison,5.1,0.14,Returning
2025-02-25,Jaipur,Jaipur - Branch 3,Latte,277.1,76,106,Kristopher,6.91,0.09,New
2025-05-17,Ahmedabad,Ahmedabad - Branch 2,Cold Brew,480.1,99,117,Ann,3.74,0.03,Loyal
2025-03-06,Dubai,Dubai - Branch 2,Americano,156.24,66,59,Joann,1.55,0.05,New
2025-06-17,Dubai,Dubai - Branch 3,Mocha,344.01,46,27,Jessica,6.86,0.07,New
2025-05-14,Surat,Surat - Branch 2,Espresso,264.8,38,190,Brandon,6.35,0.12,New
2025-02-05,Jaipur,Jaipur - Branch 3,Americano,323.54,62,159,Blake,4.73,0.12,New
2025-04-14,Kolkata,Kolkata - Branch 3,Latte,364.94,81,100,Denise,4.58,0.08,Loyal
2025-04-18,Hyderabad,Hyderabad - Branch 2,Frappuccino,232.58,52,196,Jimmy,3.1,0.13,Returning
2025-02-21,Chennai,Chennai - Branch 1,Cappuccino,433.21,60,102,Sean,2.21,0.07,New
2025-07-08,Lucknow,Lucknow - Branch 1,Espresso,468.41,73,131,Kathleen,6.42,0.13,New
2025-04-11,Delhi,Delhi - Branch 1,Latte,475.48,53,106,Sherry,1.73,0.12,Returning
2025-06-14,Jaipur,Jaipur - Branch 2,Cappuccino,509.94,92,188,Jerry,4.32,0.04,Returning
2025-05-16,Surat,Surat - Branch 2,Mocha,375.51,57,81,Lisa,2.21,0.09,Returning
2025-06-04,Hyderabad,Hyderabad - Branch 1,Latte,250.54,78,81,Cynthia,5.6,0.08,New
2025-03-06,Delhi,Delhi - Branch 2,Cold Brew,459.82,75,175,Amy,4.68,0.1,New
2025-02-19,Surat,Surat - Branch 3,Frappuccino,434.39,67,112,Jaime,2.18,0.04,Loyal
2025-04-08,Bangalore,Bangalore - Branch 3,Cappuccino,319.94,35,179,Scott,4.84,0.05,Loyal
2025-03-10,Chennai,Chennai - Branch 2,Latte,437.22,48,85,Brandon,3.17,0.13,New
2025-05-07,New York,New York - Branch 3,Frappuccino,378.76,75,86,Molly,1.96,0.12,New
2025-03-23,London,London - Branch 3,Espresso,236.98,46,100,Paul,2.12,0.1,Loyal
2025-05-05,Hyderabad,Hyderabad - Branch 2,Mocha,392.44,86,156,Robert,5.03,0.13,Returning
2025-02-15,Delhi,Delhi - Branch 1,Cold Brew,450.14,49,159,Mary,5.04,0.15,Loyal
2025-02-04,London,London - Branch 1,Frappuccino,387.93,57,184,Diane,1.85,0.11,New
2025-05-26,New York,New York - Branch 1,Espresso,363.28,71,162,James,1.88,0.04,New
2025-05-12,Hyderabad,Hyderabad - Branch 1,Cappuccino,290.16,99,173,Misty,3.02,0.01,Loyal
2025-04-19,Bangalore,Bangalore - Branch 3,Cold Brew,438.03,70,16,Joseph,6.07,0.07,New
2025-03-09,Pune,Pune - Branch 3,Mocha,406.03,35,149,Kimberly,1.6,0.15,New
2025-01-12,Bangalore,Bangalore - Branch 1,Americano,205.98,93,127,Brian,6.15,0.14,New
2025-03-14,Mumbai,Mumbai - Branch 1,Mocha,419.16,40,163,Javier,3.92,0.1,New
2025-04-10,Surat,Surat - Branch 1,Mocha,217.68,35,106,Kylie,5.73,0.04,New
2025-04-20,London,London - Branch 2,Mocha,498.26,77,100,Stephen,3.51,0.13,Loyal
2025-02-19,Mumbai,Mumbai - Branch 3,Cappuccino,171.35,80,107,Nicholas,3.65,0.02,Returning
2025-05-23,New York,New York - Branch 2,Americano,459.31,79,149,Charles,5.35,0.07,New
2025-02-04,Jaipur,Jaipur - Branch 2,Latte,165.04,45,45,Renee,6.53,0.12,Returning
2025-04-21,Singapore,Singapore - Branch 2,Mocha,222.25,65,196,Bonnie,2.96,0.08,Loyal
2025-04-01,Kolkata,Kolkata - Branch 1,Latte,273.69,78,68,Kayla,2.41,0.03,Returning
2025-06-17,Hyderabad,Hyderabad - Branch 3,Americano,424.46,75,168,Amber,6.91,0.1,Loyal
2025-05-29,Singapore,Singapore - Branch 1,Americano,385.92,86,84,Wendy,6.42,0.02,New
2025-01-13,Chennai,Chennai - Branch 3,Cold Brew,380.73,39,84,Virginia,6.26,0.01,New
2025-06-09,Hyderabad,Hyderabad - Branch 1,Frappuccino,411.41,87,30,Kristen,6.39,0.1,Loyal
2025-02-12,Jaipur,Jaipur - Branch 3,Frappuccino,165.5,88,150,Steven,6.01,0.01,New
2025-03-25,Bangalore,Bangalore - Branch 1,Frappuccino,321.52,97,29,Joshua,2.18,0.12,Returning
2025-03-09,Lucknow,Lucknow - Branch 3,Frappuccino,433.49,35,53,Alan,4.62,0.13,Loyal
2025-05-20,Lucknow,Lucknow - Branch 3,Cappuccino,372.77,57,114,Michael,3.56,0.01,Returning
2025-02-05,Mumbai,Mumbai - Branch 2,Mocha,161.93,52,54,Kelly,6.54,0.06,Loyal
2025-03-07,Kolkata,Kolkata - Branch 1,Mocha,206.45,57,194,Donna,5.0,0.1,Returning
2025-02-14,Delhi,Delhi - Branch 1,Latte,397.02,35,117,Erin,2.58,0.09,New
2025-02-16,Pune,Pune - Branch 1,Latte,222.73,69,39,Debra,4.95,0.04,Returning
2025-01-16,Delhi,Delhi - Branch 1,Cold Brew,446.43,34,130,Jason,5.68,0.02,Loyal
2025-04-03,Chennai,Chennai - Branch 3,Americano,430.62,50,138,Christian,3.35,0.11,New
2025-03-05,Delhi,Delhi - Branch 1,Mocha,343.23,62,26,Cynthia,5.04,0.13,Returning
2025-05-07,Chennai,Chennai - Branch 3,Frappuccino,385.95,66,68,Ashley,4.6,0.12,New
2025-03-07,Bangalore,Bangalore - Branch 1,Mocha,501.76,71,24,Shane,2.41,0.12,New
2025-06-23,Ahmedabad,Ahmedabad - Branch 1,Cappuccino,511.99,70,165,Jessica,4.61,0.07,New
2025-01-24,Dubai,Dubai - Branch 3,Cold Brew,452.46,100,55,Joseph,5.63,0.08,Returning
2025-04-17,Kolkata,Kolkata - Branch 1,Americano,537.73,57,175,David,2.74,0.08,Returning
2025-01-25,Surat,Surat - Branch 3,Cold Brew,282.06,52,13,Jennifer,5.61,0.02,Returning
2025-02-05,New York,New York - Branch 1,Cold Brew,436.01,63,108,Susan,6.64,0.05,Loyal
2025-04-19,Lucknow,Lucknow - Branch 2,Americano,372.64,100,131,Mary,3.96,0.12,Loyal
2025-02-08,London,London - Branch 1,Cold Brew,439.17,73,122,Richard,4.71,0.06,New
2025-06-02,Jaipur,Jaipur - Branch 3,Espresso,293.9,47,100,Joshua,4.79,0.04,Loyal
2025-04-25,Bangalore,Bangalore - Branch 2,Latte,433.84,96,121,Christopher,2.21,0.03,Returning
2025-03-16,Mumbai,Mumbai - Branch 2,Americano,233.18,30,194,Brian,5.24,0.12,Loyal
2025-06-01,Delhi,Delhi - Branch 1,Cappuccino,543.78,69,163,Alan,6.58,0.15,Returning
2025-03-22,New York,New York - Branch 3,Latte,320.41,78,176,Claire,2.05,0.08,Returning
2025-02-23,Ahmedabad,Ahmedabad - Branch 3,Cold Brew,390.34,98,150,Heidi,3.61,0.09,Returning
2025-04-06,Jaipur,Jaipur - Branch 2,Mocha,546.67,32,126,Jon,6.39,0.09,Loyal
2025-04-25,Mumbai,Mumbai - Branch 3,Frappuccino,267.44,53,102,Sarah,1.72,0.12,Returning
2025-03-21,Surat,Surat - Branch 3,Latte,527.87,79,183,Christopher,5.58,0.1,Loyal
2025-01-13,Pune,Pune - Branch 2,Cappuccino,353.9,49,13,John,2.12,0.05,New
2025-06-09,Hyderabad,Hyderabad - Branch 1,Cold Brew,493.12,79,199,Andrew,1.72,0.12,New
2025-01-13,Lucknow,Lucknow - Branch 2,Latte,281.63,84,48,Tiffany,3.49,0.01,Loyal
2025-06-04,Mumbai,Mumbai - Branch 2,Espresso,400.13,36,199,James,5.5,0.13,Loyal
2025-04-09,Lucknow,Lucknow - Branch 2,Frappuccino,471.92,88,136,Brittany,1.61,0.08,Loyal
2025-06-09,Ahmedabad,Ahmedabad - Branch 3,Latte,466.39,89,61,John,3.92,0.02,Loyal
2025-03-19,Chennai,Chennai - Branch 1,Espresso,525.82,55,153,Crystal,4.68,0.07,New
2025-05-11,Delhi,Delhi - Branch 3,Frappuccino,359.28,94,125,Jim,5.58,0.15,New
2025-03-03,Chennai,Chennai - Branch 2,Mocha,265.39,39,170,Stacy,6.36,0.14,Loyal
2025-06-22,London,London - Branch 3,Cappuccino,524.71,39,70,Danielle,5.13,0.08,Loyal
2025-01-24,New York,New York - Branch 3,Frappuccino,256.3,78,155,Jeffrey,5.84,0.08,New
2025-01-23,Mumbai,Mumbai - Branch 2,Frappuccino,184.68,43,116,Victoria,2.59,0.02,Returning
2025-02-18,Pune,Pune - Branch 2,Cappuccino,260.42,99,73,Stephen,1.58,0.11,New
2025-05-18,Mumbai,Mumbai - Branch 2,Cold Brew,355.63,61,24,Sarah,3.91,0.06,Loyal
2025-03-21,London,London - Branch 2,Americano,210.19,89,66,Leah,5.19,0.01,Returning
2025-04-13,Chennai,Chennai - Branch 3,Frappuccino,320.32,48,106,John,4.65,0.08,Loyal
2025-02-28,Singapore,Singapore - Branch 3,Cold Brew,275.3,62,113,Brian,3.88,0.13,New
2025-05-24,Singapore,Singapore - Branch 2,Latte,298.63,86,174,Peter,5.77,0.08,Returning
2025-02-15,Chennai,Chennai - Branch 3,Latte,193.08,85,20,Kurt,6.29,0.09,New
2025-02-28,Kolkata,Kolkata - Branch 3,Cappuccino,500.12,92,174,Cathy,2.15,0.07,New
2025-05-28,London,London - Branch 1,Espresso,285.99,54,76,Charles,2.25,0.13,Returning
2025-01-11,New York,New York - Branch 3,Americano,372.96,50,30,Catherine,4.78,0.14,New
2025-02-25,Hyderabad,Hyderabad - Branch 1,Frappuccino,379.13,38,69,Jessica,6.58,0.11,Returning
2025-02-05,Mumbai,Mumbai - Branch 3,Frappuccino,443.47,64,65,Sarah,1.83,0.01,Returning
2025-03-28,Pune,Pune - Branch 1,Latte,348.32,45,23,John,3.63,0.09,Returning
2025-03-20,Jaipur,Jaipur - Branch 3,Cold Brew,395.35,43,75,Gary,4.67,0.12,Returning
2025-02-09,Bangalore,Bangalore - Branch 2,Cold Brew,158.74,36,72,Charles,2.55,0.08,Returning
2025-02-04,Dubai,Dubai - Branch 3,Cold Brew,349.45,86,33,Nancy,5.11,0.01,Loyal
2025-04-23,Pune,Pune - Branch 1,Cold Brew,153.2,43,61,Lisa,1.5,0.06,Returning
2025-07-10,Lucknow,Lucknow - Branch 1,Cold Brew,388.78,36,134,Nancy,5.25,0.15,Loyal
2025-07-04,Delhi,Delhi - Branch 3,Espresso,151.19,42,81,Alexandra,6.74,0.01,Returning
2025-04-16,London,London - Branch 3,Mocha,399.32,96,60,Christina,4.49,0.0,Returning
2025-06-11,Bangalore,Bangalore - Branch 2,Espresso,356.82,96,158,Chelsea,5.0,0.05,New
2025-03-12,Delhi,Delhi - Branch 1,Espresso,482.84,61,156,Danielle,5.24,0.11,Loyal
2025-06-06,Bangalore,Bangalore - Branch 3,Americano,251.0,58,51,Latoya,3.02,0.04,New
2025-04-18,Ahmedabad,Ahmedabad - Branch 3,Cappuccino,254.23,93,49,Tonya,4.23,0.02,Returning
2025-03-06,Surat,Surat - Branch 1,Frappuccino,498.32,52,183,Penny,2.76,0.03,Returning
2025-02-06,Kolkata,Kolkata - Branch 2,Latte,154.78,99,120,Carol,6.23,0.1,Returning
2025-05-02,Dubai,Dubai - Branch 3,Frappuccino,451.55,39,173,Lawrence,4.31,0.05,Loyal
2025-05-20,London,London - Branch 2,Americano,433.81,82,146,Thomas,1.72,0.01,Loyal
2025-03-27,Delhi,Delhi - Branch 2,Cold Brew,275.39,60,75,Anthony,4.08,0.09,New
2025-04-23,Lucknow,Lucknow - Branch 2,Latte,401.12,71,15,Eugene,3.94,0.02,Returning
2025-01-23,Ahmedabad,Ahmedabad - Branch 2,Latte,530.33,74,49,Stephen,5.49,0.11,New
2025-06-25,Mumbai,Mumbai - Branch 1,Americano,417.68,42,198,Emma,4.0,0.11,New
2025-02-24,Delhi,Delhi - Branch 3,Latte,380.67,60,48,Steven,1.56,0.06,Returning
2025-03-31,Delhi,Delhi - Branch 3,Mocha,329.08,63,83,Christian,2.6,0.07,Returning
2025-04-15,Pune,Pune - Branch 1,Latte,270.51,60,93,Rebecca,6.52,0.06,Loyal
2025-06-10,Kolkata,Kolkata - Branch 2,Cappuccino,506.23,99,117,Kelly,3.47,0.13,Returning
2025-05-07,Kolkata,Kolkata - Branch 1,Americano,529.08,90,189,Heather,3.41,0.03,New
2025-02-21,Surat,Surat - Branch 1,Frappuccino,273.27,87,157,John,4.93,0.0,Returning
2025-03-11,Surat,Surat - Branch 3,Latte,480.27,92,103,Laurie,5.31,0.04,Returning
2025-05-11,Kolkata,Kolkata - Branch 3,Frappuccino,391.3,57,132,John,4.65,0.08,Returning
2025-05-13,London,London - Branch 3,Cold Brew,386.08,81,117,Brendan,3.08,0.01,Returning
2025-02-03,Singapore,Singapore - Branch 1,Americano,524.09,51,160,Wanda,1.51,0.06,Returning
2025-05-31,London,London - Branch 2,Mocha,500.45,69,50,Kathy,2.06,0.03,Loyal
2025-03-10,London,London - Branch 2,Latte,510.47,85,125,Tiffany,3.13,0.05,Loyal
2025-07-02,Mumbai,Mumbai - Branch 1,Espresso,425.45,99,125,Peter,6.09,0.02,New
2025-04-02,Dubai,Dubai - Branch 2,Americano,164.27,36,18,Heidi,5.09,0.11,Loyal
2025-06-04,Hyderabad,Hyderabad - Branch 1,Americano,427.62,38,84,Gregory,3.35,0.14,Returning
2025-05-01,Dubai,Dubai - Branch 2,Cold Brew,320.58,90,50,James,2.25,0.07,Loyal
2025-01-26,New York,New York - Branch 3,Cappuccino,235.65,91,26,Richard,5.49,0.1,New
2025-06-30,Delhi,Delhi - Branch 3,Americano,334.9,67,179,Rebecca,3.32,0.1,Returning
2025-04-27,Pune,Pune - Branch 3,Frappuccino,378.92,59,160,William,6.98,0.06,Returning
2025-03-23,Lucknow,Lucknow - Branch 1,Cold Brew,500.92,38,121,Mary,1.82,0.14,Loyal
2025-07-02,Surat,Surat - Branch 2,Cold Brew,282.84,65,118,Ronald,4.57,0.1,New
2025-06-12,Lucknow,Lucknow - Branch 1,Cappuccino,216.41,34,101,Susan,2.43,0.12,Returning
2025-07-07,Surat,Surat - Branch 1,Cold Brew,341.68,53,187,Sherry,4.8,0.08,New
2025-04-08,Lucknow,Lucknow - Branch 3,Cold Brew,205.19,56,190,Mary,4.21,0.01,Loyal
2025-02-27,Singapore,Singapore - Branch 1,Americano,337.14,89,46,Dana,4.24,0.12,Loyal
2025-03-10,Hyderabad,Hyderabad - Branch 2,Cold Brew,320.73,48,22,Shane,5.3,0.04,Loyal
2025-05-17,Bangalore,Bangalore - Branch 3,Americano,344.74,42,104,April,1.97,0.11,Loyal
2025-05-22,Singapore,Singapore - Branch 2,Cappuccino,425.99,94,32,Eric,3.63,0.02,New
2025-02-09,Bangalore,Bangalore - Branch 3,Mocha,350.57,77,145,Chad,4.41,0.01,Returning
2025-03-10,New York,New York - Branch 2,Latte,500.85,79,91,Michael,5.39,0.08,New
2025-05-27,Bangalore,Bangalore - Branch 3,Espresso,192.92,67,105,Matthew,1.9,0.12,Loyal
2025-04-27,New York,New York - Branch 1,Cold Brew,304.85,70,199,Alan,2.07,0.06,Loyal
2025-06-16,Bangalore,Bangalore - Branch 1,Mocha,291.85,52,96,Rebecca,3.72,0.11,New
2025-04-17,Jaipur,Jaipur - Branch 1,Frappuccino,263.14,79,50,John,4.8,0.06,Loyal
2025-02-07,Bangalore,Bangalore - Branch 3,Espresso,517.64,42,95,James,5.88,0.04,New
2025-04-23,Bangalore,Bangalore - Branch 1,Mocha,369.65,85,97,Jeffrey,3.5,0.1,New
2025-03-16,Hyderabad,Hyderabad - Branch 3,Americano,389.86,42,159,Elijah,2.75,0.04,Loyal
2025-01-23,Singapore,Singapore - Branch 2,Cappuccino,173.83,53,160,Marcus,1.68,0.14,Returning
2025-02-07,Delhi,Delhi - Branch 1,Cappuccino,175.68,65,121,Lindsey,1.86,0.1,Loyal
2025-04-09,Kolkata,Kolkata - Branch 1,Frappuccino,438.16,57,174,Jason,4.93,0.09,Returning
2025-06-01,Jaipur,Jaipur - Branch 2,Espresso,193.03,30,67,Brian,4.96,0.1,Returning
2025-01-28,London,London - Branch 3,Americano,454.83,35,87,Glenn,3.94,0.04,New
2025-03-26,Delhi,Delhi - Branch 1,Cold Brew,481.53,72,123,Stacy,4.87,0.07,New
2025-05-25,Bangalore,Bangalore - Branch 3,Cold Brew,337.32,99,23,Zachary,6.32,0.06,Returning
2025-01-20,Jaipur,Jaipur - Branch 1,Mocha,530.61,65,163,John,2.43,0.14,New
2025-04-29,Dubai,Dubai - Branch 3,Cappuccino,251.9,93,153,Christopher,3.96,0.01,New
2025-06-03,Lucknow,Lucknow - Branch 2,Frappuccino,155.19,62,65,Susan,4.32,0.14,Loyal
2025-01-15,Surat,Surat - Branch 2,Cappuccino,200.85,98,15,Paul,3.65,0.09,New
2025-06-20,New York,New York - Branch 1,Americano,528.86,54,197,Heather,4.19,0.1,Loyal
2025-03-27,Singapore,Singapore - Branch 3,Latte,423.83,34,116,Mariah,2.83,0.01,Returning
2025-01-27,Delhi,Delhi - Branch 1,Cappuccino,307.66,32,41,Jennifer,3.93,0.03,Returning
2025-06-06,Ahmedabad,Ahmedabad - Branch 3,Latte,270.58,65,126,Lindsey,5.51,0.01,Returning
2025-01-18,New York,New York - Branch 2,Americano,532.49,75,50,Tiffany,4.83,0.13,New
2025-02-03,Kolkata,Kolkata - Branch 1,Latte,421.99,74,91,Laura,6.53,0.12,Loyal
2025-03-28,Delhi,Delhi - Branch 1,Frappuccino,458.8,58,82,Robert,5.5,0.05,New
2025-02-20,Chennai,Chennai - Branch 3,Cappuccino,421.53,70,38,Emily,3.0,0.12,New
2025-06-08,Singapore,Singapore - Branch 1,Americano,374.14,64,35,Amanda,6.64,0.06,New
2025-06-18,Ahmedabad,Ahmedabad - Branch 2,Americano,296.74,40,171,Carol,5.6,0.12,New
2025-07-01,Ahmedabad,Ahmedabad - Branch 1,Frappuccino,371.66,89,67,Kimberly,5.15,0.04,Returning
2025-03-19,Delhi,Delhi - Branch 2,Latte,538.77,52,78,Deborah,4.65,0.05,New
2025-03-05,Dubai,Dubai - Branch 2,Cold Brew,151.61,66,94,Eric,6.53,0.06,New
2025-05-24,Kolkata,Kolkata - Branch 2,Frappuccino,406.08,51,111,Catherine,6.48,0.09,Loyal
2025-01-29,Lucknow,Lucknow - Branch 3,Frappuccino,451.21,91,185,Timothy,5.41,0.13,Loyal
2025-06-02,Ahmedabad,Ahmedabad - Branch 1,Frappuccino,272.03,90,46,Bonnie,5.96,0.03,Loyal
2025-03-07,New York,New York - Branch 2,Frappuccino,538.46,55,188,Cassandra,2.42,0.08,Loyal
2025-05-06,Mumbai,Mumbai - Branch 1,Americano,514.63,99,88,Stephen,6.79,0.03,Loyal
2025-05-03,Dubai,Dubai - Branch 1,Espresso,504.9,43,200,Linda,3.3,0.13,Returning
2025-07-01,Singapore,Singapore - Branch 1,Cappuccino,284.86,70,105,Kimberly,6.27,0.01,Returning
2025-03-20,Kolkata,Kolkata - Branch 1,Cappuccino,364.35,77,70,Joshua,1.96,0.01,Loyal
2025-04-02,London,London - Branch 1,Cold Brew,432.65,83,195,Mary,3.48,0.13,Returning
2025-05-02,Dubai,Dubai - Branch 3,Cappuccino,330.65,87,188,Wayne,1.51,0.08,Returning
2025-05-06,Delhi,Delhi - Branch 3,Mocha,162.98,58,158,Wanda,6.0,0.01,Returning
2025-05-15,New York,New York - Branch 3,Cold Brew,345.84,59,114,Philip,6.93,0.04,Returning
2025-06-03,New York,New York - Branch 3,Americano,292.49,70,95,Allen,3.75,0.12,Returning
2025-06-29,Pune,Pune - Branch 2,Cold Brew,282.53,100,90,Morgan,5.29,0.07,Loyal
2025-01-16,Surat,Surat - Branch 2,Latte,304.01,30,158,Holly,3.34,0.14,New
2025-06-24,Lucknow,Lucknow - Branch 1,Cappuccino,208.06,75,177,Mitchell,2.3,0.04,Loyal
2025-01-28,Chennai,Chennai - Branch 3,Mocha,254.92,96,126,Stephanie,2.55,0.11,Returning
2025-03-26,Jaipur,Jaipur - Branch 3,Mocha,321.53,30,70,Hailey,2.06,0.03,Returning
2025-05-06,New York,New York - Branch 1,Cappuccino,197.57,31,13,Carrie,2.47,0.02,Loyal
2025-01-31,Singapore,Singapore - Branch 1,Mocha,359.61,60,199,Michaela,2.95,0.13,Loyal
2025-06-18,Jaipur,Jaipur - Branch 1,Espresso,250.9,78,120,Sandra,6.09,0.12,Loyal
2025-04-08,Bangalore,Bangalore - Branch 2,Cappuccino,464.69,39,45,Christopher,3.88,0.09,New
2025-03-21,Jaipur,Jaipur - Branch 2,Americano,497.88,76,98,David,6.04,0.04,Loyal
2025-02-11,Dubai,Dubai - Branch 3,Cappuccino,210.3,78,70,Ashley,1.75,0.07,Returning
2025-05-20,Ahmedabad,Ahmedabad - Branch 3,Americano,495.02,44,61,Sherry,2.62,0.11,New
2025-04-01,Dubai,Dubai - Branch 3,Espresso,220.36,66,88,Cody,3.49,0.08,New
2025-06-13,Kolkata,Kolkata - Branch 2,Frappuccino,243.66,55,48,Nicole,1.93,0.05,New
2025-06-07,Dubai,Dubai - Branch 2,Latte,227.42,63,19,Maria,6.57,0.03,Returning
2025-04-09,Pune,Pune - Branch 2,Frappuccino,445.71,48,141,Michael,4.58,0.05,Loyal
2025-05-10,Ahmedabad,Ahmedabad - Branch 3,Cold Brew,207.81,89,148,Jesse,5.51,0.08,Loyal
2025-03-02,Delhi,Delhi - Branch 1,Frappuccino,476.09,72,49,Dillon,3.35,0.11,Returning
2025-06-09,Singapore,Singapore - Branch 2,Cappuccino,267.39,97,110,Andrew,5.08,0.13,Loyal
2025-01-17,Jaipur,Jaipur - Branch 1,Mocha,286.42,61,90,Alexandria,6.49,0.12,Returning
2025-02-01,Pune,Pune - Branch 2,Mocha,262.88,39,173,John,6.61,0.0,Returning
2025-02-09,Hyderabad,Hyderabad - Branch 1,Cappuccino,219.39,56,78,Judy,4.98,0.12,New
2025-02-24,New York,New York - Branch 2,Latte,452.98,80,102,Richard,5.76,0.03,New
2025-03-25,Ahmedabad,Ahmedabad - Branch 3,Frappuccino,510.84,35,123,Anthony,3.38,0.14,New
2025-04-01,Mumbai,Mumbai - Branch 1,Americano,150.25,79,138,Phillip,3.96,0.04,New
2025-03-01,Lucknow,Lucknow - Branch 2,Frappuccino,221.28,30,91,Brian,5.85,0.1,New
2025-03-23,Lucknow,Lucknow - Branch 1,Latte,270.41,49,133,Donna,1.6,0.1,Returning
2025-05-27,New York,New York - Branch 2,Cappuccino,331.7,89,92,Krystal,3.68,0.12,New
2025-05-20,London,London - Branch 1,Mocha,244.03,87,30,Brian,6.21,0.11,Returning
2025-03-21,Lucknow,Lucknow - Branch 1,Americano,498.66,70,27,Mary,2.73,0.01,Returning
2025-02-15,Ahmedabad,Ahmedabad - Branch 2,Cold Brew,224.88,30,173,John,3.65,0.06,Loyal
2025-05-02,Delhi,Delhi - Branch 2,Latte,359.63,44,132,Rebecca,6.39,0.13,Loyal
2025-01-23,Kolkata,Kolkata - Branch 3,Frappuccino,317.71,90,96,Bryan,2.34,0.04,Returning
2025-07-10,Bangalore,Bangalore - Branch 1,Cappuccino,307.4,83,153,Victoria,5.15,0.15,New
